ID,Category,Aircraft,System,SubSystem,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Reference,Difficulty,Tags,TimesSeen,TimesCorrect,TimesWrong,LastSeen,LastCorrect,UserFlag
22,Type Rating,A330,Landing Gear,Gear & NWS,The (fuel) x -feed automatically opens:,In EEC only .,When the landing gear is selected down .,When the fueler  opens the fuel selection panel door .,When the autopilot engages .,A,,,,"landinggear,nws",0,0,0,,,
23,Type Rating,A330,Electrical,Power Supply,The bleed valves are operated:,Pneumatically . EMER  GEN does not supply  power and normal AC supply is lost in flight .,Both (a) and ( c). The EMER GEN is supplying but AC ESS BUS is not powered .,Electrically . The RAT is not extended .,"Hydraulically . 6   24)    On the EMER ELEC PWR panel, the EMER GEN FAULT light illuminated red in flight means: The EMER GEN is not supplying when AC BUS 1 and 2 are not powered or the DC BAT BUS is not powered .",A,,,,electrical,0,0,0,,,
24,Type Rating,A330,Electrical,Power Supply,"On the EMER ELEC PWR panel, the EMER GEN FAULT light illuminated red in flight means:",EMER GEN does not supply power and normal AC supply is lost in flight .,The EMER GEN is supplying but AC ESS BUS is not powered .,The RAT is not extended .,The EMER GEN is not supplying when AC BUS 1 and 2 are not powered or the DC BAT BUS is not powered .,D,,,,electrical,0,0,0,,,
25,Type Rating,A330,Fuel,Fuel System,Automatic CG control ends:,At FL 255 in the climb .,"Whenever inner tank quantity drops below 3,500 kg .",At FL 235 in the descent .,"At FL 245 in the descent, or when time to destination is  35 minutes .",D,,,,fuel,0,0,0,,,
26,Type Rating,A330,Electrical,Power Supply,CVR  is energized :,"On ground for 5 minutes after power -up of the aircraft electrical system, or with one engine running .",When the RCDR GND CTL pushbutton is selected ON .,In flight .,All the above are correct .,D,,,,electrical,0,0,0,,,
27,Type Rating,A330,Landing Gear,Gear & NWS,"With  only the green hydraulic system remaining, auto -pilot function is:",Available with AP 2 .,Available with AP 1 .,"Available until landing gear is extended, then lost in direct law .",Lost .,D,,,,"landinggear,nws",0,0,0,,,
28,Type Rating,A330,Landing Gear,Gear & NWS,"After liftoff , is the BRAKES HOT warning on ECAM still available? 7",No .,"Yes, landing gear down or up .","Yes, with landing gear down only .",Only in-flight  phases 4 & 8 .,B,,,,"landinggear,nws",0,0,0,,,
29,Type Rating,A330,Flight Controls,FCS,Select the correct statement from the following:,"Speed brake  function: spoilers 1, 2 and 3 deploy .",Roll function: ailerons and spoilers 4 & 5 deploy .,Ground spoiler function: all spoilers deploy (i.e. spoilers 1 to 6) .,Ground spoiler function: spoilers 2 to 6 deploy .,C,,,,fcs,0,0,0,,,
30,Type Rating,A330,,,During an automatic starting sequence:,The start valve closes at N2 > 45% .,The start valve closes at N2 > 43% .,The start valve closes at N2  > 50 % .,Start valve closes at N2 > 15% .,C,,,,,0,0,0,,,
31,Type Rating,A330,Electrical,Power Supply,If TR1 or 2 fails:,EMER  GEN supplies DC power on the faulty side .,The static inverter replaces the faulty TR .,The DC bus on the faulty side is lost .,"The other TR automatically replaces the faulty one, and the ESS TR supplies DC ESS BUS .",D,,,,electrical,0,0,0,,,
32,Type Rating,A330,Fuel,Fuel System,May the maximum continuous oil temperature be exceeded?,"Yes, to a maximum of 155°C for up to 20 minutes . Yes, bypassing  the fuel filter ( bypass  valve) .","Yes, to a maximum of 195°C . No, the engine stops .","Yes, to a maximum of 175°C for up to 15 minutes . High pressure fuel is not available, but gravity fuel feeding may be possible .","No . 8  33)    Is the engine still supplied in case of fuel filter clog? Yes , using fuel  coming from the IDG cooling tank .",C,,,,fuel,0,0,0,,,
33,Type Rating,A330,Fuel,Fuel System,Is the engine still supplied in case of fuel filter clog?,"Yes, bypassing the fuel filter ( bypass valve) .","No, the engine stops .","High pressure fuel is not available, but gravity fuel feeding may be possible .","Yes , using fuel coming from the IDG cooling tank .",A,,,,fuel,0,0,0,,,
34,Type Rating,A330,Communications,Radio,Navaid backup tuning is provided by RMP:,None of the above .,1 .,1 and 2 .,2 .,C,,,,comms,0,0,0,,,
35,Type Rating,A330,Fire Protection,Fire/Smoke,The rain repellent bottle is located:,In the right aft corner of the cockpit .,In the rear of the cockpit on the left-hand  side .,In the avionics bay .,In the wheel bay nose .,B,,,,fire,0,0,0,,,
36,Type Rating,A330,Avionics,Displays/Warnings,The PFD image:,Can be displayed on the ND automatically only .,Can be displayed on the ND either manually or automatically .,Can be displayed on the ND manually only .,Cannot be displayed on the ND .,B,,,,"ecam,avionics",0,0,0,,,
37,Type Rating,A330,Air Systems,Pressurization,"In normal operation, pressurization  is:",Fully automatic . Thrust lever position in automatic thrust control .,Automatic only when CPC 1 is in use . Thrust lever position in manual thrust control .,Manually controlled . Thrust lever position in manual and automatic thrust control .,Automatic but  landing elevation must be manually set . 9  38)    The thrust rating limit is provided by FADEC  according to the: The engine master switches .,A,,,,pressurization,0,0,0,,,
38,Type Rating,A330,Hydraulics,Hydraulic Systems,The thrust rating limit is provided by FADEC according to the:,Thrust lever position in automatic thrust control .,Thrust lever position in manual thrust control .,Thrust lever position in manual and automatic thrust control .,The engine master switches .,C,,,,hydraulics,0,0,0,,,
39,Type Rating,A330,Electrical,Power Supply,The Pilot inadvertently activates the approach phase in cruising; how to reactivate the cruise phase?,Cruise phase cannot be reactivated.,Pull the speed knob on FCU.,Reselect a cruise flight level into the progress page .,Let the A/C climb to higher flight level .,C,,,,electrical,0,0,0,,,
40,Type Rating,A330,Brakes,Braking,The HOT light on the brake fan push button  illuminates when brake temperature reaches:,250°C .,315°C .,300°C .,725°C .,C,,,,"brakes,antiskid",0,0,0,,,
41,Type Rating,A330,Fuel,Fuel System,When the APU MASTER SW pushbutton is selected ON:,The APU starts .,The ECB performs a power up test .,The APU fuel pump starts immediately.,The air intake flap closes .,B,,,,fuel,0,0,0,,,
42,Type Rating,A330,Fuel,Fuel System,Fuel over -pressure protection:,Is provided in all wing tank pumps .,Is provided in all wing tanks and in the trim tank .,Is provided in each wing surge tank and in the trim surge Tank . 10               D) Is not provided .,,C,,,,fuel,0,0,0,,,
43,Type Rating,A330,Electrical,Power Supply,When the RAIN RPLNT pushbutton is pressed:,Rain repellent flows continuously to the selected windshield for as long as the push button  is held .,The timer applies a measured quantity of rain repellent to the selected windshield .,Rain repellent is applied in short bursts to both windshields .,Rain repellent flows continuously to both windshields for as long as the push button  is held .,B,,,,electrical,0,0,0,,,
44,Type Rating,A330,Hydraulics,Hydraulic Systems,"Is it possible to interchange hydraulic fluid from green to yellow, or from yellow to green systems?","Yes, using the priority valves .","Yes, in case of leakage .",No.,"Yes, using the PTU .",C,,,,hydraulics,0,0,0,,,
45,Type Rating,A330,Fire Protection,Fire/Smoke,Each  engine fire detection loop consists of:,Four elements located in the pylon and the engine core .,"Two elements, one above and one below the engine .",One continuous loop located in the engine cowling .,Two continuous loops .,A,,,,fire,0,0,0,,,
46,Type Rating,A330,Air Systems,Bleed/Pneumatics,The  engine nacelle is anti -iced:,Electrically . 20 0°C.,Pneumatically by de -ice boots . 150°C .,By bleed air from the high -pressure  compressor . 85°C .,"By bleed air from the low-pressure  compressor . 11  47) Wing  anti -ice OFF, the lowest temperature bleed air that may be delivered from the precooler is: 950°C .",C,,,,"bleed,pneumatic",0,0,0,,,
47,Type Rating,A330,Air Systems,Bleed/Pneumatics,"Wing anti -ice OFF, the lowest temperature bleed air that may be delivered from the precooler is:",20 0°C.,150°C .,85°C .,950°C .,B,,,,"bleed,pneumatic",0,0,0,,,
48,Type Rating,A330,Flight Controls,FCS,"In case of zone controller secondary channel failure, the primary channel of the zone controller regulates the zone temperature:",At 15°C .,At 10°C .,As for normal operation .,At 24°C .,C,,,,fcs,0,0,0,,,
49,Type Rating,A330,,,For  the aircraft batteries:,Normal minimum voltage is 25.5V .,Normal minimum voltage is 27.5V .,No minimum voltage is specified .,Normal minimum voltage is 22V .,A,,,,,0,0,0,,,
50,Type Rating,A330,Oxygen/Recording,Oxygen/Recording,On  the ground the crew can manually energize  the CVR by pressing:,The CVR erases  pushbutton .,All of the above .,The CVR test pushbutton .,The RCDR GND CTL pushbutton .,D,,,,"oxygen,recording",0,0,0,,,
51,Type Rating,A330,Air Systems,Pressurization,The  safety valves  on the L/G extension and retraction system will close:,To shut off the yellow hydraulic system . 12               B) To shut off the Green hydraulic system .,,To shut off the blue hydraulic system .,To shut off the Green and Yellow  hydraulic system .,B,,,,pressurization,0,0,0,,,
52,Type Rating,A330,Doors/Emergency,Cabin Safety,"After  landing, a flashing red indicator light on the door indicates that:","The escape slide is disarmed,  and the engines are stopped but the cabin is still pressurized .",The engines are still running .,The escape slide is armed; if you open the door the slid e will deploy .,The door and/or the escape slide is inoperative .,A,,,,"doors,emergency",0,0,0,,,
53,Type Rating,A330,Avionics,Displays/Warnings,A correct definition of CI would be:,999 corresponds to maximum time of flight .,999 corresponds to minimum time of flight .,50 corresponds to minimum time of fligh t.,999 corresponds to the most  efficient .,B,,,,"ecam,avionics",0,0,0,,,
54,Type Rating,A330,Air Systems,Pressurization,With  green hydraulic system pressure available and the A/SKID & N/W STRG switch OFF:,"Braking is normal, nose wheel steering is normal .","Braking is alternate, nose wheel steering is normal .","Braking is alternate without anti -skid, nose wheel . steering is lost .","Braking is normal, nose wheel steering is lost .",D,,,,pressurization,0,0,0,,,
55,Type Rating,A330,Communications,Radio,Oxygen  is supplied to the fixed oxygen system in the cockpit from:,Portable bottles fixed in the cockpit . Yes – by pressing RAD switch for VHF and using the   hand mike for HF.,Chemical generators . Yes – by using the sidestick radio switch with both channels selected on the ACP .,High pressure engine bleed air . Yes – by using the hand mike with both channels selected on the ACP .,A high -pressure  cylinder in the lower fuselage . 13  56) Can  you transmit  VHF and HF at the same time? No – the pilot deselects the active channel by selecting another channel (only one channel can be selected at any time) .,D,,,,comms,0,0,0,,,
56,Type Rating,A330,Communications,Radio,Can you transmit VHF and HF at the same time?,Yes – by pressing RAD switch for VHF and using the hand mike for HF.,Yes – by using the sidestick radio switch with both channels selected on the ACP .,Yes – by using the hand mike with both channels selected on the ACP .,No – the pilot deselects the active channel by selecting another channel (only one channel can be selected at any time) .,D,,,,comms,0,0,0,,,
57,Type Rating,A330,Hydraulics,Hydraulic Systems,ENG  2 driven hydraulic pump energize s,The yellow system and the green system .,The green system and the blue system .,The blue system .,The green system only .,A,,,,hydraulics,0,0,0,,,
58,Type Rating,A330,Avionics,Displays/Warnings,If the EWD fails:,It is automatically displayed on the MCDU Display .,It is automatically displayed on the PFD Display .,It is automatically displayed on the lower ECAM DU .,It is automatically displayed on the ISIS Display .,C,,,,"ecam,avionics",0,0,0,,,
59,Type Rating,A330,Electrical,Power Supply,"When cargo doors operate  on the ground, the yellow electric pump runs, the yellow leak measurement valve closes and the flight controls are:",Inhibited provided the crew close the leak measurement valve .,"Operative, but the RAT is inhibited .",Inhibited .,Fully operative .,C,,,,electrical,0,0,0,,,
60,Type Rating,A330,Electrical,Power Supply,"In  flight with loss of all main generators, EMER GEN not running, the DC ESS BUS is supplied by: 14",BAT2 .,ESS TR .,BAT1 and BAT2 .,BAT 1 .,C,,,,electrical,0,0,0,,,
61,Type Rating,A330,Landing Gear,Gear & NWS,How  far is the nose wheel behind the nose of the aircraft?,25 ft / 7.6m .,30 ft / 9.1m .,22 ft / 6.7m .,15 ft / 4.6m .,C,,,,"landinggear,nws",0,0,0,,,
62,Type Rating,A330,Limitations/Performance,Limitations,The  load factor limits are:,+2.5g and -1g clean; +2.0g and 0g in other configurations .,+2.5g and -1g: limits apply only in clean configuration .,+2.5g and -1g in all configurations .,+2.0g and -0g in all configurations .,A,,,,"limitations,performance",0,0,0,,,
63,Type Rating,A330,Doors/Emergency,Cabin Safety,Cargo and passenger doors are fitted with:,White overpressure warning lights .,Neither (a) nor (b) .,Slide armed warning lights .,Passenger doors – residual cabin pressure and slide armed lights; main cargo doors – residual cabin pressure lights only .,D,,,,"doors,emergency",0,0,0,,,
64,Type Rating,A330,Avionics,Displays/Warnings,If the crew oxygen bottle has discharged due to overpressure:,The green discharge indicator will be missing from the right side of the aircraft nose .,The red discharge indicator will be missing from under the rear fuselage .,A THERM DISCH message appears on ECAM . 15               D) No crew indication is provided .,,A,,,,"ecam,avionics",0,0,0,,,
65,Type Rating,A330,Flight Controls,FCS,Maneuver  Load Alleviation (MLA) is available:,In normal law only .,When speed > 2 00 kt .,"With slats or flaps extended, speed < 200 kt or speed > Vmo + 10 kt .",When the flap lever is at 0 and speed > 250 kt .,D,,,,fcs,0,0,0,,,
66,Type Rating,A330,Oxygen/Recording,Oxygen/Recording,Can  the CVR be tested before engine starts ?,Yes – press the RCDR GND CTL pushbutton ON and press the CVR TEST push button  with the parking brake set .,Yes – press the RCDR GND CTL pushbutton ON and press the CVR TEST push button .,"No, it can only be tested after engine starts .",Yes – press the CVR TEST pushbutton with the parking brake released .,A,,,,"oxygen,recording",0,0,0,,,
67,Type Rating,A330,Air Systems,Pressurization,Hydraulic  pressure to landing  gear is supplied:,At speeds up to 250 kt .,At speeds up to 300 kt .,At speeds up to 2 60 kt .,Regardless of aircraft speed .,D,,,,pressurization,0,0,0,,,
68,Type Rating,A330,Flight Controls,FCS,Roll  normal law combines control of:,"Ailerons, spoilers 2 to 6 and rudder in the sidestick .",Ailerons and all spoilers in the sidestick .,Ailerons and speed brakes  in the sidestick .,Ailerons and spoilers 2 and 4 in the sidestick .,A,,,,fcs,0,0,0,,,
69,Type Rating,A330,Air Systems,Pressurization,Cabin  pressurization  phase is initiated at: 16               A) Lift off .,,Selection of climb power .,Selection of take -off power .,Engine start .,C,,,,pressurization,0,0,0,,,
70,Type Rating,A330,Electrical,Power Supply,Normal  hydraulic power is provided by:,Engine driven pumps for all systems .,"Engine driven pumps for green and blue, electric pump for yellow .","Engine driven pumps for green and yellow, electric pump for blue, electric pump for yellow . E) Electric pumps for blue and yellow, engine driven pumps for green .",,A,,,,electrical,0,0,0,,,
71,Type Rating,A330,Electrical,Power Supply,The  rudder trim selector:,Is active when the AP is engaged .,Can be used to taxi the aircraft .,Is not active when the AP is engaged .,Max deflection  is 50 degrees,C,,,,electrical,0,0,0,,,
72,Type Rating,A330,Electrical,Power Supply,The  hydraulic motors for the stabilizer are controlled by:,One of three electric motors for auto trim .,A mechanical trim wheel .,(a) and (b) are both correct .,One of two electric motors .,C,,,,electrical,0,0,0,,,
73,Type Rating,A330,Fire Protection,Fire/Smoke,How  are many passengers’ portable oxygen bottles  carried?,10 up to 16.,20 up to 25.,5 up to 10 .,10 up to 12 .,B,,,,fire,0,0,0,,,
74,Type Rating,A330,Avionics,Displays/Warnings,What happens when the CARGO SMOKE TEST pushbutton is pressed? 17,"The smoke detectors are tested, the SMOKE lights illuminate red, the ECAM warning is displayed, the isolation valves close and the BTL DISCH and SQUIB lights illuminate white .",Nothing - cargo smoke detection is not installed .,"A master warning sounds,  and the smoke detectors are tested .",An ECAM warning is displayed on the E/WD and the AGENT light Illuminates .,A,,,,"ecam,avionics",0,0,0,,,
75,Type Rating,A330,Communications,Radio,Could  you receive ATIS information from a VOR tuned on VOR 2?,"Yes, by pressing the ATIS button on the Captain’s ACP .","No, voice facility is not available through the ACP .","Yes, by pressing and releasing out the VOR 2 reception  knob and selecting the ON VOICE key on the ACP .","Yes, by pressing the ON VOICE key on the ACP .",C,,,,comms,0,0,0,,,
76,Type Rating,A330,Hydraulics,Hydraulic Systems,Rain  repellent:,Should only be used on the captain’s  windshield .,May be used as a windshield cleaner .,Is it suitable for use in moderate to heavy rainfall .,Should only be used on a dry window .,C,,,,hydraulics,0,0,0,,,
77,Type Rating,A330,Hydraulics,Hydraulic Systems,What  is the maximum range and duration of a water fire extinguisher?,10 ft and 10 seconds .,30 ft and 15 seconds .,20 ft and 30 seconds .,15 ft and 30 seconds .,D,,,,hydraulics,0,0,0,,,
78,Type Rating,A330,Hydraulics,Hydraulic Systems,Normal hydraulic power is provided by: 18,Manually or automatically .,Using the manual extension hand crank – pull and turn three times .,Automatically only .,Manually only .,C,,,,hydraulics,0,0,0,,,
79,Type Rating,A330,Hydraulics,Hydraulic Systems,"Once  a cabin fixed oxygen system generator is activated, it will deliver oxygen for:",30 minutes if only one mask attached to that generator is used .,5 minutes if all masks attached to that generator are used .,13 minutes ( unless shut  off using the RESET switch in the cockpit) .,22 minutes – oxygen is supplied to all masks attached to that generator .,D,,,,hydraulics,0,0,0,,,
80,Type Rating,A330,Landing Gear,Gear & NWS,What  does a triple click mean during an ILS approach?,Flaps are set at 3 and the landing gear is not down .,A level 3 warning to the crew .,"A primary failure is occurring, prepare for going  around .",ILS capability downgrade .,D,,,,"landinggear,nws",0,0,0,,,
81,Type Rating,A330,Avionics,Displays/Warnings,If batteries only are supplied  during APU start:,"Both E/WD and SD screens are powered, and the APU start procedure is normal .","Neither ECAM screen is powered, and the APU start will be monitored by ECB .",The E/WD screen only is powered and the ECAM control panel APU pushbutton must be pressed to display the APU parameters .,The E/WD screen only is powered and displays the APU page automatically .,C,,,,"ecam,avionics",0,0,0,,,
82,Type Rating,A330,Fire Protection,Fire/Smoke,In case of an on -ground APU fire:,The APU automatically shuts down and the bottle automatically 19  discharges after 3 seconds .,The APU automatically shuts down .,The APU bottle is discharged  automatically after 5 seconds .,System operation is as for an APU fire in flight .,A,,,,fire,0,0,0,,,
83,Type Rating,A330,Landing Gear,Gear & NWS,Pressure to the nose wheel steering system is shut off:,When the nose landing gear doors are closed .,When the aircraft is on the ground .,During ground operation with one engine shut down or when aircraft speed is above 60 kt .,When the towing lever is in the towing position or when both engines are shut down .,D,,,,"landinggear,nws",0,0,0,,,
84,Type Rating,A330,Avionics,Displays/Warnings,Which  surfaces are used as ground spoilers for lift dumping?,All spoilers (1 to 6) .,"Spoilers 1, 2, 3, 4 .","Spoilers 1, 2, 3 .","Spoilers 2, 3, 4 .",A,,,,"ecam,avionics",0,0,0,,,
85,Type Rating,A330,Avionics,Displays/Warnings,"After an engine failure on T/O, the sideslip indicator will:",Change to green .,Change to blue .,Change to yellow .,Change to magenta .,B,,,,"ecam,avionics",0,0,0,,,
86,Type Rating,A330,Flight Controls,FCS,"If the angle of attack is greater than alpha prot , when the sidestick is released:",The angle of attack reduces to alpha prot .,The angle of attack remains the same .,The speed returns to VLS .,The aircraft cannot fly at an angle greater than alpha prot .,A,,,,fcs,0,0,0,,,
87,Type Rating,A330,Air Systems,Bleed/Pneumatics,Can  the IP valve position be controlled directly through the 20  air bleed cockpit panel?,"Yes , by turning up the pack temperature .",No .,Yes .,"Yes, directly by turning down the pack temperature .",A,,,,"bleed,pneumatic",0,0,0,,,
88,Type Rating,A330,Avionics,Displays/Warnings,"On  the ECAM PRESS page, an outflow valve indicator changes to amber if :",It is open more than 95% in flight .,It is fully closed .,It is not fully open on the ground .,It is fully open in flight .,A,,,,"ecam,avionics",0,0,0,,,
89,Type Rating,A330,,,What  is the approximate wingspan of the aircraft?,200 ft / 60m  A330 -300 .,2 30 ft / 6 8m.,180 ft / 55m .,190 ft / 58m  A330 -200 .,A,,,,,0,0,0,,,
90,Type Rating,A330,Landing Gear,Gear & NWS,"With  both green and yellow hydraulic systems lost, manual pitch trim (stabilizer) is:",Only available until the landing gear is down .,Available .,Lost .,Only available after the landing gear is down .,A,,,,"landinggear,nws",0,0,0,,,
91,Type Rating,A330,Avionics,Displays/Warnings,"On  the ECAM PRESS page, the safety valve indication changes to amber if:",Both safety valves do not open .,One safety valve is open .,At least one safety valve is not fully closed .,Both safety valves are fully open . 21,C,,,,"ecam,avionics",0,0,0,,,
92,Type Rating,A330,Air Systems,Bleed/Pneumatics,"If  APU bleed is ON, during climbing APU bleed valve closes when the altitude is:",23000 ft .,25000 ft .,20000 ft .,22500 ft .,B,,,,"bleed,pneumatic",0,0,0,,,
93,Type Rating,A330,Air Systems,Pressurization,In case of single hydraulic system low pressure:,The master caution light illuminates and the single chime Sounds .,There is no warning .,The master warning light illuminates .,The emergency warning light illuminates and the CRC Sounds .,A,,,,pressurization,0,0,0,,,
94,Type Rating,A330,Fuel,Fuel System,"Excluding  the vent surge tanks, how many tanks are in each wing?",Three .,Two .,Five .,Four .,B,,,,fuel,0,0,0,,,
95,Type Rating,A330,Landing Gear,Gear & NWS,"During  approach, MASTER WARN, red arrow and GEAR NOT DOWN on ECAM:","Indicates landing gear nor down locked, flaps  at 2, 3 or FULL and radio height is lower  than 750 ft .",Indicates landing gear down locked and flaps at FULL .,Indicates landing gear not down locked  and both engines not at TOGA .,Would not be triggered by either (A) or (B) .,A,,,,"landinggear,nws",0,0,0,,,
96,Type Rating,A330,Electrical,Power Supply,"On  ground, yellow ELEC pushbutton at AUTO, the yellow 22  electric pump runs:","With one engine  running, provided the blue pump pushbutton has been pressed .",Whenever both engines are running .,During cargo door operation .,If ground electrical power is on .,C,,,,electrical,0,0,0,,,
97,Type Rating,A330,Fuel,Fuel System,The  normal tank filling order is:,Inner tanks then outer tanks .,Surge tanks first .,All tanks filled simultaneously as required by fuel load .,Outer tanks then inner tanks .,C,,,,fuel,0,0,0,,,
98,Type Rating,A330,,,Normally  the anti -skid system reference speed is determined by:,The ADIRUs through BSCU .,A wheel tachometer .,The LGCIUs .,The BSCUs .,A,,,,,0,0,0,,,
99,Type Rating,A330,Brakes,Braking,Is it permissible to use air conditioning packs and LP ground units simultaneously?,"Yes, if external temperature is greater than 50°C . Yes, in all cases .","Yes, provided the airflow supplied by the ground cart is less than 1.2 kg/s . Yes, provided the aircraft is stationary . 23               C) No.",No.,Yes . 100 ) Is the autobrake deactivated when the PARK BRK handle is moved to ON? Both (A) and (B) are correct . 1,C,,,,"brakes,antiskid",0,0,0,,,
100,Type Rating,A330,Brakes,Braking,Is the autobrake deactivated when the PARK BRK handle is moved to ON?,"Yes, in all cases .","Yes, provided the aircraft is stationary .",No.,Both (A) and (B) are correct .,C,,,,"brakes,antiskid",0,0,0,,,
101,Type Rating,A330,,,What is the length of the A330's wingspan?,63.69m.,60.3m.,66.3m.,63.3m.,A,,,,,0,0,0,,,
102,Type Rating,A330,Landing Gear,Gear & NWS,What is the maximum nose wheel turning angle and what is the minimum turning width for a 180º turn?  (A330 -300).,"72º, 48 m.","68º, 28 m","75º, 48 m.",None of these are correct.,A,,,,"landinggear,nws",0,0,0,,,
103,Type Rating,A330,Doors/Emergency,Cabin Safety,How do you open the evacuation and release board of the cockpit door  from the cockpit side ?,Kick from one side of the cockpit.,The board falls off automatically in case of rapid cabin decompression.,Both A and B.,,C,,,,"doors,emergency",0,0,0,,,
